PlayerID,TransactionTime,TransactionType,Amount
f85eda37-9071-4989-aff2-12a8d1a30de7,2023-11-09 07:18:58,bet,1816.55
f85eda37-9071-4989-aff2-12a8d1a30de7,2023-12-03 20:52:10,win,4155.21
f85eda37-9071-4989-aff2-12a8d1a30de7,2023-11-28 01:38:03,bet,476.1
f85eda37-9071-4989-aff2-12a8d1a30de7,2023-11-12 07:19:07,payout,2299.21
f85eda37-9071-4989-aff2-12a8d1a30de7,2023-11-10 14:36:08,win,3743.11
f85eda37-9071-4989-aff2-12a8d1a30de7,2023-11-17 01:15:09,payout,3692.88
f85eda37-9071-4989-aff2-12a8d1a30de7,2023-11-23 11:36:08,win,4347.6
f85eda37-9071-4989-aff2-12a8d1a30de7,2023-11-22 20:18:33,loss,1500.4
f85eda37-9071-4989-aff2-12a8d1a30de7,2023-12-04 10:25:26,loss,554.11
f85eda37-9071-4989-aff2-12a8d1a30de7,2023-11-14 08:50:57,bet,411.43
f85eda37-9071-4989-aff2-12a8d1a30de7,2023-11-29 14:04:04,loss,2817.84
f85eda37-9071-4989-aff2-12a8d1a30de7,2023-11-16 12:23:03,loss,3175.49
f85eda37-9071-4989-aff2-12a8d1a30de7,2023-11-30 04:45:05,payout,4763.78
f85eda37-9071-4989-aff2-12a8d1a30de7,2023-11-08 20:49:20,bet,3858.57
f85eda37-9071-4989-aff2-12a8d1a30de7,2023-11-15 20:30:20,payout,3788.15
f85eda37-9071-4989-aff2-12a8d1a30de7,2023-11-19 23:59:25,win,2095.48
f85eda37-9071-4989-aff2-12a8d1a30de7,2023-11-17 13:20:03,loss,3775.54
f85eda37-9071-4989-aff2-12a8d1a30de7,2023-11-14 19:43:02,win,1784.91
f85eda37-9071-4989-aff2-12a8d1a30de7,2023-11-21 19:22:38,bet,2620.94
f85eda37-9071-4989-aff2-12a8d1a30de7,2023-12-03 14:52:04,bet,3681.72
f85eda37-9071-4989-aff2-12a8d1a30de7,2023-12-02 08:14:22,win,2743.66
f85eda37-9071-4989-aff2-12a8d1a30de7,2023-11-12 11:50:39,loss,3144.48
f85eda37-9071-4989-aff2-12a8d1a30de7,2023-11-12 19:51:30,bet,2952.03
f85eda37-9071-4989-aff2-12a8d1a30de7,2023-11-08 22:47:02,loss,3755.09
f85eda37-9071-4989-aff2-12a8d1a30de7,2023-11-25 22:05:07,loss,2609.99
f85eda37-9071-4989-aff2-12a8d1a30de7,2023-11-13 09:02:53,win,1478.29
f85eda37-9071-4989-aff2-12a8d1a30de7,2023-11-27 09:57:48,loss,1844.84
f85eda37-9071-4989-aff2-12a8d1a30de7,2023-11-20 23:34:03,payout,3738.95
f85eda37-9071-4989-aff2-12a8d1a30de7,2023-11-10 16:58:04,bet,850.84
f85eda37-9071-4989-aff2-12a8d1a30de7,2023-11-28 23:55:20,win,2768.24
f85eda37-9071-4989-aff2-12a8d1a30de7,2023-11-05 06:01:57,payout,4804.73
f85eda37-9071-4989-aff2-12a8d1a30de7,2023-12-02 18:55:36,loss,3052.13
f85eda37-9071-4989-aff2-12a8d1a30de7,2023-11-19 19:50:14,win,3857.71
f85eda37-9071-4989-aff2-12a8d1a30de7,2023-11-15 15:22:17,loss,4746.09
f85eda37-9071-4989-aff2-12a8d1a30de7,2023-11-15 02:00:56,payout,4571.41
f85eda37-9071-4989-aff2-12a8d1a30de7,2023-11-30 10:33:33,win,3338.54
f85eda37-9071-4989-aff2-12a8d1a30de7,2023-11-11 07:54:23,payout,3143.36
f85eda37-9071-4989-aff2-12a8d1a30de7,2023-11-05 03:02:07,payout,2730.39
f85eda37-9071-4989-aff2-12a8d1a30de7,2023-11-24 10:16:13,bet,3938.89
f85eda37-9071-4989-aff2-12a8d1a30de7,2023-11-23 00:44:01,payout,540.12
f85eda37-9071-4989-aff2-12a8d1a30de7,2023-11-24 09:21:26,bet,2872.65
f85eda37-9071-4989-aff2-12a8d1a30de7,2023-11-05 15:30:20,bet,2041.7
f85eda37-9071-4989-aff2-12a8d1a30de7,2023-11-21 02:13:37,loss,1470.86
f85eda37-9071-4989-aff2-12a8d1a30de7,2023-11-12 00:40:21,payout,4010.63
f85eda37-9071-4989-aff2-12a8d1a30de7,2023-12-03 21:57:43,win,4204.63
f85eda37-9071-4989-aff2-12a8d1a30de7,2023-11-25 18:44:30,bet,4256.15
f85eda37-9071-4989-aff2-12a8d1a30de7,2023-11-16 06:12:43,bet,556.39
f85eda37-9071-4989-aff2-12a8d1a30de7,2023-11-11 23:34:49,payout,2158.96
f85eda37-9071-4989-aff2-12a8d1a30de7,2023-11-28 23:23:42,payout,737.46
f85eda37-9071-4989-aff2-12a8d1a30de7,2023-11-24 09:53:45,win,4368.27
f85eda37-9071-4989-aff2-12a8d1a30de7,2023-11-19 09:22:20,payout,3939.83
f85eda37-9071-4989-aff2-12a8d1a30de7,2023-11-20 01:22:33,win,4498.0
f85eda37-9071-4989-aff2-12a8d1a30de7,2023-11-16 07:49:12,bet,4194.86
f85eda37-9071-4989-aff2-12a8d1a30de7,2023-11-17 07:19:00,bet,4218.79
f85eda37-9071-4989-aff2-12a8d1a30de7,2023-11-09 23:58:41,payout,2116.39
f85eda37-9071-4989-aff2-12a8d1a30de7,2023-11-09 04:04:13,loss,1508.16
f85eda37-9071-4989-aff2-12a8d1a30de7,2023-11-25 13:31:32,bet,2874.75
f85eda37-9071-4989-aff2-12a8d1a30de7,2023-11-15 03:32:29,bet,1637.75
f85eda37-9071-4989-aff2-12a8d1a30de7,2023-11-06 11:35:42,win,1218.25
f85eda37-9071-4989-aff2-12a8d1a30de7,2023-11-05 13:16:42,loss,3685.08
